"Artist","Title","Description","Year","Medium","Dimensions","Copyright","Credit","Department","Floor","Room","Image_Hyperlink","Art_id","View_Status"
"Anni Albers","Display Material Sample","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","1949","Cotton, silk, lurex, and metallic foil","68 7/8 x 44"" (174.9 x 111.7 cm)","© 2022 The Josef and Anni Albers Foundation / Artists Rights Society (ARS), New York","Gift of the designer","Architecture and Design"," Floor 5"," 511","","1946","On view"
"Louis Majorelle, Daum Frères, Nancy, France","""Nénuphar"" table lamp","Soon after Thomas Edison invented the incandescent light bulb in the 1870s, electric lamps began to replace gas models in urbanized areas. Produced in New York, Paris, and Munich, there was widespread appeal of artificial lighting in homes at the turn of the century. They are unique expressions of an ornate style which came to be known as Art Nouveau. Inspired by nature—Majorelle’s takes the form of a water lily—their organic forms conceal the technical innovations within.

		Gallery label from 2021","c. 1900","Gilt and patinated bronze and acid-etched glass","27 1/4 x 11 1/2 x 11 1/2"" (69.2 x 29.2 x 29.2 cm)","","Joseph H. Heil Bequest (by exchange)","Architecture and Design"," Floor 5"," 501","https://www.moma.org/media/W1siZiIsIjIxMDMwNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=0c7125bbbdfb5cad","2170","On view"
"Arthur Young","Bell-47D1 Helicopter","More than three thousand Bell-47D1 helicopters were made in the United States and sold in forty countries between 1946 and 1973, when production ceased. While the Bell-47D1 is a straightforward utilitarian craft, its designer, Young, who was also a poet and a painter, consciously juxtaposed its transparent plastic bubble with the open structure of its tail boom to create an object whose delicate beauty is inseparable from its efficiency. That the plastic bubble is made in one piece rather than in sections joined by metal seams sets the Bell-47D1 apart from other helicopters. The result is a cleaner, more unified appearance.
The bubble also lends the hovering craft an insect-like appearance, which generated its nickname, the “bug-eyed helicopter.” It seems fitting, then, that one of the principal uses of the Bell-47D1 has been for pest control through crop-dusting and spraying. It has also been used for traffic surveillance and for the delivery of mail and cargo to remote areas. During the Korean War, it served as an aerial ambulance.
Awarded the world’s first commercial helicopter license by the US Civil Aeronautics Administration (now the Federal Aviation Administration), the Bell-47D1 weighs 1,380 pounds. Its maximum speed is ninety-two miles per hour, and its maximum range is 194 miles. It can hover like a dragonfly at altitudes up to ten thousand feet.

		Publication excerpt from MoMA Highlights: 375 Works from The Museum of Modern Art, New York (New York: The Museum of Modern Art, 2019)","1945","Aluminum, steel, and acrylic plastic","9' 2 3/4"" x 7' 11"" x 42' 8 3/4"" (281.3 x 302 x 1271.9 cm)","","Marshall Cogan Purchase Fund","Architecture and Design"," Floor 3","","https://www.moma.org/media/W1siZiIsIjI0ODkwMCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=abfd8439a9cbb58c","2234","On view"
"Marcel Breuer","Armchair","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1922","Stained oak and hand-woven wool","37 1/4 x 22 x 22 1/2"" (94.6 x 55.9 x 57.2 cm), seat h. 17 1/4"" (43.8 cm)","","Phyllis B. Lambert Fund","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjIyODQ1OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=5b03d728f8d1e982","2314","On view"
"Charlotte Perriand","Revolving Armchair","""Clutching a portfolio of drawings, I found myself face-to-face one October afternoon in 1927 with Le Corbusier's horn-rimmed spectacles. The austere office was somewhat intimidating, and his greeting rather frosty.
'What do you want?' he asked, his eyes hooded by his glasses.
'To work with you.'
He glanced quickly through my drawings. 'We don't embroider cushions here,' he replied, and showed me the door.""
—Charlotte Perriand, Une Vie de creation (A life of creation), 1998
Following this incident, after viewing her designs for the 1927 Salon d'Automne, Le Corbusier hired Perriand, and she worked in his Paris studio for ten years. She immediately set to work on a series of furniture designs that were introduced to the public at the 1929 Salon d’Automne in Paris. In this design, partly inspired by an office swivel chair, Perriand softened the rigidity of the tubular frame with a stuffed cushion resting on coil springs. Because the frame and the upholstery required considerable handwork, the chair was relatively expensive and manufactured in limited numbers.

		Gallery label from Designing Modern Women 1890–1990, October 5, 2013–October 1, 2014.","1928","Chrome-plated tubular steel and leather","29 3/4 x 22 x 21 1/4"" (75.6 x 55.9 x 54 cm), seat h. 21 5/8"" (54.9 cm)","","Gift of Thonet Industries, Inc.","Architecture and Design"," Floor 5"," 513","https://www.moma.org/media/W1siZiIsIjIxMDUyMCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=5581481699fe13bf","2325","On view"
"Hector Guimard","Entrance Gate to Paris Subway (Métropolitain) Station, Paris, France","The emergence of the Art Nouveau style toward the end of the nineteenth century resulted from a search for a new aesthetic that was not based on historical or classical models. The sinuous, organic lines of Guimard’s design and the stylized, giant stalks drooping under the weight of what seem to be swollen tropical flowers, but are actually amber glass lamps, make this a quintessentially Art Nouveau piece. Guimard’s designs for this famous entrance arch and two others were intended to visually enhance the experience of underground travel on the new subway system for Paris.
Paris was not the first city to implement an underground train system (London already had one), but the approaching Paris Exposition of 1900 accelerated the need for an efficient and attractive means of mass transportation. Although Guimard never formally entered the competition for the design of the system’s entrance gates, launched in 1898 by the Compagnie du Métropolitain, he won the commission with his avant-garde schemes, which all employed standardized cast-iron components to facilitate manufacture, transport, and assembly.
While Parisians were at first hesitant in their response to Guimard’s use of a vocabulary associated with luxury jewelry and domestic furnishings, the Métro gates, installed throughout the city, effectively brought the Art Nouveau style into the realm of popular culture.

		Publication excerpt from MoMA Highlights: 375 Works from The Museum of Modern Art, New York (New York: The Museum of Modern Art, 2019)","c. 1900","Painted cast iron, glazed lava, and glass","13' 11"" x 17' 10"" x 32"" (424.2 x 543.6 x 81.3 cm)","","Gift of Régie Autonome des Transports Parisiens","Architecture and Design"," Floor 1"," Sculpture Garden","https://www.moma.org/media/W1siZiIsIjI0MDYzNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=938d4ef62bcc6b85","2393","On view"
"Richard Riemerschmid","Electric Wall Lamp","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","c. 1908","Partially copper-plated forged iron, brass, glass","20 x 14 3/8 x 40"" (50.8 x 36.5 x 101.6 cm)","","Phyllis B. Lambert Fund","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjUwNTg3NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=121748fa753a6ce7","2399","On view"
"Richard Riemerschmid","Radiator Grille","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","c. 1900","Iron and wood","grille: 25 1/2 x 21 1/8"" (64.8 x 53.7 cm)","","Phyllis B. Lambert Fund","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjYxMDY1Il0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDkwIC1yZXNpemUgMjAwMHgxNDQwXHUwMDNlIl1d.jpg?sha=56e6ccaeed867ad3","2404","On view"
"Marguerite Wildenhain","Bowl","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","c. 1945","Glazed pottery","3 5/8 x 8"" (9.2 x 20.3 cm)","","Gift of Gump's","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjIyODYxMCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=7699e6779066927b","2406","On view"
"Marguerite Wildenhain","Bowl","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","Before 1946","Glazed pottery","2 1/16 x 4 3/4"" (5.2 x 12.1 cm)","","Gift of Gump's","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjIyODYxMiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=afafdc5e33d5fab3","2409","On view"
