"Artist","Title","Description","Year","Medium","Dimensions","Copyright","Credit","Department","Floor","Room","Image_Hyperlink","Art_id","View_Status"
"Joaquín Torres-García","Composition","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1931","Oil on canvas","36 1/8 x 24"" (91.7 x 61 cm)","","Gift of Larry Aldrich","Painting and Sculpture"," Floor 5"," 512","https://www.moma.org/media/W1siZiIsIjMxNzU1NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=684ff8ba3358d400","79388","On view"
"Paul Klee","Cat and Bird","Klee was one of the many modernist artists who wanted to practice what he called ""the pure cultivation of the means"" of painting—in other words, to use line, shape, and color for their own sake rather than to describe something visible. That priority freed him to create images dealing less with perception than with thought, so that the bird in this picture seems to fly not in front of the cat's forehead but inside it–the bird is literally on the cat's mind. Stressing this point by making the cat all head, Klee concentrates on thought, fantasy, appetite, the hungers of the brain. One of his aims as an artist, he said, was to ""make secret visions visible.""
The cat is watchful, frighteningly so, but it is also calm, and Klee's palette too is calm, in a narrow range from tawny to rose with zones of bluish green. This and the suggestion of a child's drawing lighten the air. Believing that children were close to the sources of creativity, Klee was fascinated by their art, and evokes it here through simple lines and shapes: ovals for the cat's eyes and pupils (and, more loosely, for the bird's body), triangles for its ears and nose. And the tip of that nose is a red heart, a sign of the cat's desire.

		Publication excerpt from The Museum of Modern Art, MoMA Highlights, New York: The Museum of Modern Art, revised 2004, originally published 1999, p. 116.","1928","Oil and ink on gessoed canvas, mounted on wood","15 x 21"" (38.1 x 53.2 cm)","© 2022 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","Sidney and Harriet Janis Collection Fund and gift of Suzy Prudden and Joan H. Meijer in memory of F. H. Hirschland","Painting and Sculpture"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjIxMTAxNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=6fcc37b4411c83e4","79456","On view"
"Henri Matisse","The Swimming Pool, Maquette for ceramic (realized 1999 and 2005)","One summer morning in 1952, Matisse told his studio assistant and secretary Lydia Delectorskaya that “he wanted to see divers,” so they went to a favorite pool in Cannes. Suffering under the blazing sun, they returned home, and Matisse declared, “I will make myself my own pool.” He asked Delectorskaya to ring the walls of his dining room at the Hôtel Régina in Nice with a white paper band just above the level of his head, breaking only at window and doors at opposite ends of the room. Matisse cut divers, swimmers, and sea creatures out of paper painted ultramarine blue and pinned them onto the white paper.
The result was Matisse’s first and only self-contained, site-specific cut-out. Matisse saw in paper’s pliability an ideal match for the fluidity of water, making the piece a perfect synthesis of subject and means. With its simplification of forms, dynamic use of positives and negatives, and expansion across the walls, The Swimming Pool was the culmination of Matisse’s cut-paper work up to that point.

		Gallery label from 2019","Nice-Cimiez, Hôtel Régina, late summer 1952","Gouache on paper, cut and pasted, on painted paper","Overall","© 2022 Succession H. Matisse / Artists Rights Society (ARS), New York","Mrs. Bernard F. Gimbel Fund. Conservation was made possible by the Bank of America Art Conservation Project","Painting and Sculpture"," Floor 4"," 406","https://www.moma.org/media/W1siZiIsIjI5MjQ1NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=1a751cbd5d501c17","79462","On view"
"Arshile Gorky","Diary of a Seducer","Painted primarily in shades of gray and divided roughly along its horizontal axis into a velvety upper expanse and a mostly lighter lower half, Diary of a Seducer evokes a landscape, even as Gorky’s sinuous drawing and a smattering of orifice-like ovals suggest a distinctly erotic context. Set within the shadowy, indeterminate space opened up visually by the artist’s thin washes of pigment and intermittently blurred lines, smoldering zones of yellow and burnt-orange paint evoke the heat of desire. Gorky’s handling insists equally on the literal constituents of painting, highlighting both the woven nature of his cloth support and the liquidity of oil—as evinced, for example, by the long, lone drip leading down to the artist’s signature at lower left.
Upon moving to New York in 1924, Gorky developed a style of painting that drew on the work of various prominent modern artists, including Pablo Picasso and Paul Cezanne. By the early 1940s, he had come in close contact with the Surrealist artists living in exile in the city, particularly the French writer André Breton. Gorky absorbed their aesthetic strategies and their interest in the subconscious while developing his own unique approach: rather than depicting recognizable imagery, his paintings are entirely abstract. As a result, Gorky’s work is often seen as a bridge between Surrealism and the Abstract Expressionism of the subsequent generation.

		Publication excerpt from MoMA Highlights: 375 Works from The Museum of Modern Art, New York (New York: The Museum of Modern Art, 2019)","1945","Oil on canvas","50 x 62"" (126.7 x 157.5 cm)","© 2022 The Arshile Gorky Foundation / Artists Rights Society (ARS), New York","Gift of Mr. and Mrs. William A. M. Burden","Painting and Sculpture"," Floor 4"," 401","https://www.moma.org/media/W1siZiIsIjIwNDMxOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=ae4e75dcf585d604","79492","On view"
"Irene Rice Pereira","White Lines","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1942","Oil on vellum with marble dust, sand and other materials","25 7/8 x 21 7/8"" (65.7 x 55.6 cm)","","Gift of Edgar Kaufmann, Jr.","Painting and Sculpture"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjE4MjE0MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=068d2c9fbb565b75","79493","On view"
"Stanton Macdonald-Wright","Synchromy","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1917","Oil on canvas","31 x 24"" (78.8 x 61 cm)","","Given anonymously","Painting and Sculpture"," Floor 5"," 505","https://www.moma.org/media/W1siZiIsIjUzODkiXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgOTAgLXJlc2l6ZSAyMDAweDE0NDBcdTAwM2UiXV0.jpg?sha=5da637a88bb06ab5","79506","On view"
"Henri Matisse","Composition","Although Matisse's title for this canvas accentuates its abstractness, notes taken during a 1931 interview with the artist indicate that it represents a view from a curtained window in the artist’s home in Issy-les-Moulineaux, including the blue glass canopy that covered the front door:
The curtain was red, the color of the yellow [represents its] lining and the pattern [was] added by the artist. The green frame of the window suggests the green of the trees outside and the cool contrast of the green of the trees and the blue sky necessitated the large mass of yellow which to the artist signifies the vibration and pleasure he derived from the contrast of trees and sky. It is not therefore a completely abstract picture but a picture which has its roots in reality.
While most of Matisse’s paintings of this period are extensively revised, this canvas returns to an earlier mode of working. As he had in some of his Moroccan paintings of 1912–13, the artist drew the composition then filled it in with color to produce a sense of freshness and immediacy.

		Gallery label from Matisse: Radical Invention, 1913-1917, July 18–October 11, 2010.
	




        Additional text






Although Matisse’s title for this canvas accentuates its abstractness, notes taken during a 1931 interview with the artist indicate that it represents a view from a curtained window in the artist's home, including the blue glass canopy that covered the front door: ""The curtain was red, the color of the yellow [represents its] lining and the pattern [was] added by the artist. The green frame of the window suggests the green of the trees outside and the cool contrast of the green of the trees and the blue sky necessitated the large mass of yellow which to the artist signifies the vibration and pleasure he derived from the contrast of trees and sky. It is not therefore a completely abstract picture but a picture which has its roots in reality.""

		Gallery label from 2011.","Issy-les-Moulineaux, 1915","Oil on canvas","57 1/2 x 38 1/8"" (146 x 97 cm)","© 2022 Succession H. Matisse / Artists Rights Society (ARS), New York","Gift of Jo Carole and Ronald S. Lauder; Nelson A. Rockefeller Bequest, gift of Mr. and Mrs. William H. Weintraub, and Mary Sisler Bequest (all by exchange)","Painting and Sculpture"," Floor 5"," 506","https://www.moma.org/media/W1siZiIsIjE3NTEwNyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=bb27e8edbaca858c","79523","On view"
"Henri Matisse","Landscape at Collioure","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","Collioure, summer 1905","Oil on canvas","15 1/4 x 18 3/8"" (38.8 x 46.6 cm)","© 2022 Succession H. Matisse / Artists Rights Society (ARS), New York","Gift and bequest of Louise Reinhardt Smith","Painting and Sculpture"," Floor 5"," 506","https://www.moma.org/media/W1siZiIsIjQ3NjkwOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=e3dadb7ac38e0bc8","79542","On view"
"Georges Braque","Landscape at La Ciotat","Before Braque met Pablo Picasso, with whom he invented Cubism, he painted in the bright, bold colors shared by the Fauves, a loosely affiliated group of artists that also included Henri Matisse, André Derain, and Raoul Dufy. They were given this name—meaning ""wild beasts""—by an unsympathetic critic in 1905, as a result of the high-pitched colors and anti-naturalistic rendering they embraced. In the summer of 1907 Braque worked in the resort town of La Ciotat, near Marseilles, where he painted this landscape using heavy outlines, flattened space, and intense, harmonic colors.

		Gallery label from 2011.","La Ciotat, summer 1907","Oil on canvas","28 1/4 x 23 3/8"" (71.7 x 59.4 cm)","© 2022 Artists Rights Society (ARS), New York / ADAGP, Paris","Acquired through the Katherine S. Dreier and Adele R. Levy Bequests","Painting and Sculpture"," Floor 5"," 506","https://www.moma.org/media/W1siZiIsIjE1MTI5OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=7d82368688940471","79554","On view"
"Joan Mitchell","Ladybug","Mitchell’s Ladybug presents an apparently spontaneous—but in fact carefully plotted—accumulation of brushstrokes. Staccato arcs and dashes of marigold, mauve, dark berry, and brown seem to leap off the canvas, while excess pigment dribbles downward. Colors abut one another, overlap, and mix on the picture’s surface, dense paint merging with liquid drips, and flatness with relief. The chromatic web appears to hover over an empty ground, which is actually composed of several layers of white paint.
In 1957, the year in which she made Ladybug, Mitchell said of her process, “The freedom in my work is quite controlled.” She meticulously applied each color, attentive to the relationships between them and to the weight of each brushstroke. In this painting and others of this period, Mitchell, unlike many of her Abstract Expressionist contemporaries, rejected an allover compositional approach, preferring a balance of figure and ground—even in a fully abstract image.
Throughout her long career, Mitchell referred to the matter of her paintings as “feelings,” or memories of distinct times and places, the uneven flow of which she fixed in paint. Mitchell was thirty-two and living in New York when she painted Ladybug. Here, as in her other works, she aimed not to describe nature, but (as she put it) “to paint what it leaves me with.”

		Publication excerpt from MoMA Highlights: 375 Works from The Museum of Modern Art, New York (New York: The Museum of Modern Art, 2019)
	




        Additional text






In Ladybug, Mitchell abuts pure colors with colors that mix on the canvas, dense paint with liquid drips, flatness with relief. White patches of pigment aerate the energized fields of color. Although Mitchell was considered one of the principal figures of the second generation of Abstract Expressionists that emerged in the mid-1950s, she also challenged the conventional wisdom of the New York School. While her paintings are abstract, their starting point was nature, which she set out not to describe but ""to paint what it leaves me with.""

		Gallery label from Making Space: Women Artists and Postwar Abstraction, April 19 - August 13, 2017.","1957","Oil on canvas","6' 5 7/8"" x 9' (197.9 x 274 cm)","© Estate of Joan Mitchell","Purchase","Painting and Sculpture"," Floor 4"," 405","https://www.moma.org/media/W1siZiIsIjQ2MjU5MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=d48d953e35065dae","79586","On view"
"Henri Matisse","The Moroccans","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","Issy-les-Moulineaux, late 1915 and fall 1916","Oil on canvas","71 3/8"" x 9' 2"" (181.3 x 279.4 cm)","© 2022 Succession H. Matisse / Artists Rights Society (ARS), New York","Gift of Mr. and Mrs. Samuel A. Marx","Painting and Sculpture"," Floor 5"," 506","https://www.moma.org/media/W1siZiIsIjE2NzU0OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=abb946fe868de87d","79588","On view"
"Günther Förg","Untitled","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1987","Acrylic on lead on wood, in three parts","8' 4 1/4"" x 6' 10 3/4"" (254.6 x 210.2 cm)","© 2022 Günther Förg","Gift of Gerald S. Elliott","Painting and Sculpture"," Floor 2"," 208","https://www.moma.org/media/W1siZiIsIjIwMzUzOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=655bfd289c7288d8","79594","On view"
"Marcel Duchamp","Network of Stoppages","In 3 Standard Stoppages, Duchamp had explored the possibility of adjusting the metric standard through a random procedure. In this large canvas he complicated that idea, multiplying the curves of the fallen threads from 3 Standard Stoppages by reproducing each one three times and positioning them in a diagrammatic arrangement. He also made the work by painting over the images on a canvas he had already used, those images being a female figure and a schematic, quasi-mechanical drawing of his ongoing project The Large Glass. The visible and semi-visible layers of Network of Stoppages seem to contrast three representational systems: traditional figuration, chance operations, and the diagram, which maps the world without picturing it.

		Gallery label from 2020","Paris, 1914","Oil and pencil on canvas","58 5/8"" x 6' 5 5/8"" (148.9 x 197.7 cm)","© 2022 Artists Rights Society (ARS), New York / ADAGP, Paris / Estate of Marcel Duchamp","Abby Aldrich Rockefeller Fund and gift of Mrs. William Sisler","Painting and Sculpture"," Floor 5"," 508","https://www.moma.org/media/W1siZiIsIjI0MzI5NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=2ac4dd5cc3fad526","79600","On view"
"Roy Lichtenstein","Girl with Ball","Lichtenstein took the image for Girl with Ball straight from an advertisement for a hotel in Pennsylvania's Pocono Mountains. In pirating it, however, he transformed the photographic image, using a painter's version of the techniques of the comic-strip artist. The resulting simplifications intensify the artifice of the picture, concentrating its careful evocation of fun in the sun. The girl’s round mouth is more doll-like than female; any sex appeal she had has become as plastic as her beach ball.

		Gallery label from 2011.
	




        Additional text






Lichtenstein took the image for Girl with Ball straight from an advertisement, for a hotel in the Pocono Mountains. In pirating the image, however, he transformed it, submitting the ad's photograph to the techniques of the comic-strip artist and printer—and transforming those techniques, too, into a painter's versions of them. The resulting simplifications intensify the artifice of the picture, curdling its careful dream of fun in the sun. The girl's rounded mouth is more doll-like than female; any sex appeal she had has become as plastic as her beach ball.
In choosing the banal subject matter of paintings like Girl with Ball, Lichtenstein challenged the aesthetic orthodoxy of the time, still permeated by the spiritual and conceptual ambitions of Abstract Expressionism. The moral seriousness of art, and art's longevity, seemed foreign to this cheap, transient ad from the consumer marketplace, a sector of roiling turnover. Startling though the image was as an artwork, in fact, as advertising it was already old-fashioned—so that Lichtenstein's painting admits of a certain nostalgia. His simulation of printing similarly robs the technology of the polish it had already achieved: overstating the dots of the Benday process, and limiting his palette to primary colors, he exaggerates the limitations of mechanical reproduction, which becomes as much the subject of the painting as the girl herself.

		Publication excerpt from The Museum of Modern Art, MoMA Highlights, New York: The Museum of Modern Art, revised 2004, originally published 1999, p. 238.","1961","Oil on canvas","60 1/4 x 36 1/4"" (153 x 91.9 cm)","","Gift of Philip Johnson","Painting and Sculpture"," Floor 4"," 412","https://www.moma.org/media/W1siZiIsIjM5MjY1MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=c29ba02c57b623da","79665","On view"
"Jackson Pollock","Stenographic Figure","Much of Pollock's early work is characterized by a somber palette and congested pictorial space, but Stenographic Figure is bright and airy. Reflecting, perhaps, his new relationship with painter Lee Krasner, it is often read as a reclining female whose head in profile is at the upper left, whose arms and hands are opened wide over a torso that stretches across the middle of the canvas, and whose legs and paw-like feet are spread across the right edge. Another possible interpretation is that there is an upright figure near the right edge of the canvas and another just left of center. To finish the painting, Pollock covered the surface with a layer of scratchy, calligraphic lines.
When Stenographic Figure was first shown in 1943, at the Spring Salon for Young Artists held by Peggy Guggenheim at her gallery Art of This Century, it garnered praise from, among others, Dutch artist Piet Mondrian, who described it as “the most interesting work I’ve seen so far in America.”

		Gallery label from Jackson Pollock: A Collection Survey, 1934-1954, November 22, 2015–May 1, 2016.","c. 1942","Oil on linen","40 x 56"" (101.6 x 142.2 cm)","© 2022 Pollock-Krasner Foundation / Artists Rights Society (ARS), New York","Mr. and Mrs. Walter Bareiss Fund","Painting and Sculpture"," Floor 4"," 401","https://www.moma.org/media/W1siZiIsIjE1NjM1MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=1d85efb771ce024c","79686","On view"
"Mark Rothko","Slow Swirl at the Edge of the Sea","Slow Swirl at the Edge of the Sea pictures two creatures dancing between sea and sky, surrounded by arabesques, spirals, and stripes. The forms “have no direct association with any particular visible experience, but in them one recognizes the principle and passion of organisms,” Rothko said. For him art was “an adventure into an unknown world”; like the Surrealists before him, Rothko looked inward, to his own unconscious mind, for inspiration and material for his work.

		Gallery label from Abstract Expressionist New York, October 3, 2010-April 25, 2011.
	




        Additional text






Early on in his career, Rothko saw art as ""an adventure into an unknown world"" and, like the Surrealists before him, sought to create universal symbols drawn from the subconscious. Slow Swirl at the Edge of the Sea shows two sinuous biomorphic creatures that seem to float between sea and sky, surrounded by arabesques, spirals, and stripes that can be read as musical symbols. Rothko maintained that the forms ""have no direct association with any particular visible experience, but in them one recognizes the principle and passion of organisms."" He applied the paint in transparent layers—a practice he retained when he abandoned representational images and began to develop his large–scale color field paintings a few years later.","1944","Oil on canvas","6' 3 3/8"" x 7' 3/4"" (191.4 x 215.2 cm)","© 1998 Kate Rothko Prizel & Christopher Rothko / Artists Rights Society (ARS), New York","Bequest of Mrs. Mark Rothko through The Mark Rothko Foundation, Inc.","Painting and Sculpture"," Floor 4"," 401","https://www.moma.org/media/W1siZiIsIjE1OTIxOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=94cbeb0a10612cf2","79691","On view"
"Carroll Dunham","Ship","With phalluses sprouting from their heads, no eyes, and aggressively gaping mouths, the cartoonish protagonists of Ship engage in what appears to be a tragicomic battle. A similar cast of eccentric characters—suggesting the awkward or, as Dunham puts it, ""bumpy"" nature of life—recur throughout his paintings from the past decade. Dunham began his career as an abstract painter in the early 1980s and quickly became a key figure in the medium's resurgence in the United States after decades dominated by Minimal and Conceptual sculpture and installation art. While he no longer works in a fully abstract mode, his process continues to be intuitive, guided by trial and error rather than premeditated subjects or themes. He recently described painting as ""a perfect storm of the crass, the sacred, and the intimately personal.""

		Gallery label from 2010.","New York, April 1997 - May 1999","Synthetic polymer paint, urethane paint, and pencil on linen","10' 1/8"" x 13' 1/8"" (305.1 x 396.5 cm)","© 2022 Carroll Dunham","Paula Cooper, Donald L. Bryant, Jr., and Andreas C. Dracopoulos Funds","Painting and Sculpture"," Floor 1","","https://www.moma.org/media/W1siZiIsIjE1MTI2MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=ece9bc510d019f55","79738","On view"
"Lovis Corinth","Self-Portrait with Palette","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","April 1924","Oil on canvas","39 3/8 x 31 5/8"" (100 x 80.3 cm)","","Gift of Curt Valentin","Painting and Sculpture"," Floor 5"," 514","https://www.moma.org/media/W1siZiIsIjE1MTI2MyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=b0258de54addfde4","79741","On view"
"Morris Hirshfield","Tiger","Perhaps influenced by the artist's work in textile manufacturing, the highly textured surface of this painting recalls the tactility of fabrics, and its repeating forms, symmetrical composition, thick outlines, and bold colors evoke the patterning and print motifs often seen on textiles. Hirshfield placed the tiger—based on an illustration in a children's book—within an imaginary and highly stylized natural landscape, transforming a simple image into what MoMA's founding director, Alfred H. Barr, Jr., called the most ""unforgettable animal picture.""

		Gallery label from 2011.
	




        Additional text






In 1939 art collector and dealer Sidney Janis stumbled upon a painting by Morris Hirshfield tucked out of view in a New York gallery. He immediately asked to borrow two works by the artist to include in the exhibition Contemporary Unknown American Painters, which he was organizing for The Museum of Modern Art. This was the first public exposure for Hirshfield, a self-taught painter who had only begun making art after retiring at age sixty-five from a career in textile and shoe manufacturing. In 1941, Alfred H. Barr, Jr., MoMA's founding director, acquired Tiger and Girl in a Mirror for the Museum, and he organized a monographic exhibition of Hirshfield's work at MoMA two years later. In its early years the Museum was committed to collecting and exhibiting the work of self-taught artists, exploring and bringing to the public what Barr considered to be a ""tributary of one of the main streams of modern taste.""

		Gallery label from 2011.","1940","Oil on canvas","28 x 39 7/8"" (71.1 x 101.3 cm)","© 2022 Estate of Morris Hirshfield/Licensed by VAGA, New York, NY","Abby Aldrich Rockefeller Fund","Painting and Sculpture"," Floor 5"," 521","https://www.moma.org/media/W1siZiIsIjE1ODEzMiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=391463e8a3f69869","79758","On view"
"Pablo Picasso","Three Women at the Spring","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","Fontainebleau, summer 1921","Oil on canvas","6' 8 1/4"" x 68 1/2"" (203.9 x 174 cm)","© 2022 Estate of Pablo Picasso / Artists Rights Society (ARS), New York","Gift of Mr. and Mrs. Allan D. Emil","Painting and Sculpture"," Floor 5"," 513","https://www.moma.org/media/W1siZiIsIjE1MTI2OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=4ceab3e679ec105e","79762","On view"
"Pablo Picasso","Les Demoiselles d'Avignon","Les Demoiselles d’Avignon marks a radical break from traditional composition and perspective in painting. It depicts five naked women composed of flat, splintered planes whose faces were inspired by Iberian sculpture and African masks. The compressed space they inhabit appears to project forward in jagged shards, while a slice of melon in the still life at the bottom of the composition teeters on an upturned tabletop. Picasso unveiled the monumental painting in his Paris studio after months of revision. The Avignon of the work’s title is a reference to a street in Barcelona famed for its brothels.

		Gallery label from 2019
	




        Additional text






This work is as uncomfortable to look at as it is impossible to look away from. No other painting in the history of Western art so boldly, and baldly, confronts the viewer. Three of the five naked protagonists stare outward, trapping us with their gazes, just as the picture’s complicated space, populated by bodies that simultaneously press against and recede from its surface, draws us in. Pictorial conventions are banished and idealized notions of beauty jettisoned. The two rightmost figures’ masklike features are often connected to Picasso’s visit, midway through his work on the painting, to the Musée d’Ethnographie du Trocadéro in Paris—the city’s first anthropological museum. There he had an epiphanic encounter with African and Oceanic art, which influenced the work’s ferocious antinaturalism—the degree to which the depicted figures resist mimetic norms.
Picasso produced an unprecedented quantity of preparatory drawings and paintings for Demoiselles. They speak to his struggle to reinvent Western painting in his own stylistically disjunctive, spatially contradictory, aggressively confrontational terms. The title Les Demoiselles d’Avignon (The women of Avignon) was given to the work around the time of its first public exhibition. It alludes to the prostitutes of Barcelona’s red-light district and foregrounds the psychosexual dimension and erotic content that conjoin with Demoiselles’s explosive form and fuel its continued ability to shock.

		Publication excerpt from MoMA Highlights: 375 Works from The Museum of Modern Art, New York (New York: The Museum of Modern Art, 2019)","Paris, June-July 1907","Oil on canvas","8' x 7' 8"" (243.9 x 233.7 cm)","© 2022 Estate of Pablo Picasso / Artists Rights Society (ARS), New York","Acquired through the Lillie P. Bliss Bequest (by exchange)","Painting and Sculpture"," Floor 5"," 503","https://www.moma.org/media/W1siZiIsIjQzODQ1MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=8b2a1c3992bba555","79766","On view"
"Fernand Léger","The Divers","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1941-42","Oil on canvas","7' 6"" x 68"" (228.6 x 172.8 cm)","© 2022 Artists Rights Society (ARS), New York / ADAGP, Paris","Mrs. Simon Guggenheim Fund","Painting and Sculpture"," Floor 5","","https://www.moma.org/media/W1siZiIsIjE1MTI3MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=a901450146c43ae5","79768","On view"
